"id","name","itemTypeId","itemSubTypeId","slots","description"
"1101","Espada [3]","1","257","3","""Espada simples, de uma m\u00e3o s\u00f3. Arraste esta arma para sua janela de equipamento para usar.\nClasses que utilizam:  ^777777Espada^000000\nFor\u00e7a de Ataque: ^77777725^000000\nPeso: ^77777750^000000\nN\u00edvel da arma: ^7777771^000000\nN\u00edvel necess\u00e1rio: ^7777772^000000\nClasse: ^777777Aprendiz\/ Espadachim\/ Mercador\/ Gatuno e as respectivas evolu\u00e7\u00f5es^000000"""
"1102","Espada [4]","1","257","4","""Espada simples, de uma m\u00e3o s\u00f3. Arraste esta arma para sua janela de equipamento para usar.\nClasse: ^777777Espada^000000\nFor\u00e7a de Ataque: ^77777725^000000\nPeso: ^77777750^000000\nN\u00edvel da arma: ^7777771^000000\nN\u00edvel necess\u00e1rio: ^7777772^000000\nClasses: ^777777Aprendiz\/ Espadachim\/ Mercador\/ Gatuno e as respectivas evolu\u00e7\u00f5es^000000"""
"1103","Espada","1","257","0","""Espada simples, de uma m\u00e3o s\u00f3. Arraste esta arma para sua janela de equipamento para usar.\nClasse: ^777777Espada^000000\nFor\u00e7a de Ataque: ^77777725^000000\nPeso: ^77777750^000000\nN\u00edvel da arma: ^7777771^000000\nN\u00edvel necess\u00e1rio: ^7777772^000000\nClasses: ^777777Aprendiz\/ Espadachim\/ Mercador\/ Gatuno e as respectivas evolu\u00e7\u00f5es^000000"""
"1104","Alfanje [3]","1","257","3","""Espada de uma m\u00e3o com uma l\u00e2mina arredondada. Arraste esta arma para sua janela de equipamento para usar.\nClasse: ^777777Espada^000000\nFor\u00e7a de Ataque: ^77777739^000000\nPeso: ^77777760^000000\nN\u00edvel da arma: ^7777771^000000\nN\u00edvel necess\u00e1rio: ^7777772^000000\nClasses: ^777777Aprendiz\/ Espadachim\/ Mercador\/ Gatuno e as respectivas evolu\u00e7\u00f5es^000000"""
"1105","Alfanje [4]","1","257","4","""Espada de uma m\u00e3o com uma l\u00e2mina arredondada. Arraste esta arma para sua janela de equipamento para usar.\nClasse: ^777777Espada^000000\nFor\u00e7a de Ataque: ^77777739^000000\nPeso: ^77777760^000000\nN\u00edvel da arma: ^7777771^000000\nN\u00edvel necess\u00e1rio: ^7777772^000000\nClasses: ^777777Aprendiz\/ Espadachim\/ Mercador\/ Gatuno^000000"""
"1106","Alfanje","1","257","0","""Espada de uma m\u00e3o com uma l\u00e2mina arredondada. Arraste esta arma para sua janela de equipamento para usar.\nClasse: ^777777Espada^000000\nFor\u00e7a de Ataque: ^77777739^000000\nPeso: ^77777760^000000\nN\u00edvel da arma: ^7777771^000000\nN\u00edvel necess\u00e1rio: ^7777772^000000\nClasses: ^777777Aprendiz\/ Espadachim\/ Mercador\/ Gatuno e as respectivas evolu\u00e7\u00f5es^000000"""
"1107","Lâmina [3]","1","257","3","""Espada de uma m\u00e3o de l\u00e2mina grossa.\nClasse: ^777777Espada^000000\nFor\u00e7a de Ataque: ^77777753^000000\nPeso: ^77777770^000000\nN\u00edvel da arma: ^7777771^000000\nN\u00edvel necess\u00e1rio: ^7777772^000000\nClasses: ^777777Aprendiz\/ Espadachim\/ Mercador\/ Gatuno e as respectivas evolu\u00e7\u00f5es^000000"""
"1108","Lâmina [4]","1","257","4","""Espada de uma m\u00e3o de l\u00e2mina grossa.\nClasse: ^777777Espada^000000\nFor\u00e7a de Ataque: ^77777753^000000\nPeso: ^77777770^000000\nN\u00edvel da arma: ^7777771^000000\nN\u00edvel necess\u00e1rio: ^7777772^000000\nClasses: ^777777Aprendiz\/ Espadachim\/ Mercador\/ Gatuno e as respectivas evolu\u00e7\u00f5es^000000"""
"1109","Lâmina","1","257","0","""Espada de uma m\u00e3o de l\u00e2mina grossa.\nClasse: ^777777Espada^000000\nFor\u00e7a de Ataque: ^77777753^000000\nPeso: ^77777770^000000\nN\u00edvel da arma: ^7777771^000000\nN\u00edvel necess\u00e1rio: ^7777772^000000\nClasses: ^777777Aprendiz\/ Espadachim\/ Mercador\/ Gatuno e as respectivas evolu\u00e7\u00f5es^000000"""
"1110","Florete [2]","1","257","2","""Espada de uma m\u00e3o de l\u00e2mina longa e fina.\nClasse: ^777777Espada^000000\nFor\u00e7a de Ataque: ^77777770^000000\nPeso: ^77777750^000000\nN\u00edvel da arma: ^7777772^000000\nN\u00edvel necess\u00e1rio: ^77777714^000000\nClasses: ^777777Aprendiz\/ Espadachim\/ Mercador\/ Gatuno e as respectivas evolu\u00e7\u00f5es^000000"""
