"id","name","itemTypeId","itemSubTypeId","slots","description"
"2501","Capuz","2","515","0","""Touca flex\u00edvel para cabe\u00e7a e pesco\u00e7o. \nClasse: ^777777Capa^000000\nDefesa: ^7777774^000000\nPeso: ^77777720^000000\nClasses: ^777777Todas^000000"""
"2502","Capuz [1]","2","515","1","""Touca flex\u00edvel para cabe\u00e7a e pesco\u00e7o.\nClasse: ^777777Capa^000000\nDefesa: ^7777774^000000\nPeso: ^77777720^000000\nClasses: ^777777Todas^000000"""
"2503","Sobrepeliz","2","515","0","""Agasalho usado em torno do pesco\u00e7o. \n--------------------------\nTipo: ^777777Capa^000000\nDEF: ^7777778^000000 DEFM: ^7777770^000000\nPeso: ^77777740^000000\nN\u00edvel necess\u00e1rio: ^7777771^000000\nClasses: ^777777Todas, exceto Aprendizes^000000"""
"2504","Sobrepeliz [1]","2","515","1","""Agasalho usado em torno do pesco\u00e7o. \n--------------------------\nTipo: ^777777Capa^000000\nDEF: ^7777778^000000 DEFM: ^7777770^000000\nPeso: ^77777740^000000\nN\u00edvel necess\u00e1rio: ^7777771^000000\nClasses: ^777777Todas, exceto Aprendizes^000000"""
"2505","Manteau","2","515","0","""Capa longa e pesada para proteger de condi\u00e7\u00f5es clim\u00e1ticas extremas.\nClasse: ^777777Capa^000000\nDefesa: ^77777713^000000\nPeso: ^77777760^000000\nClasses: ^777777Espadachim\/Mercador\/Gatuno e as respectivas evolu\u00e7\u00f5es^000000"""
"2506","Manteau [1]","2","515","1","""Capa longa e pesada para proteger de condi\u00e7\u00f5es clim\u00e1ticas extremas.\nClasse: ^777777Capa^000000\nDefesa: ^77777713^000000\nPeso: ^77777760^000000\nClasses: ^777777Espadachim\/Mercador\/Gatuno e as respectivas evolu\u00e7\u00f5es^000000"""
"2507","Capa do Marquês","2","515","0","""Rumores dizem que essa capa foi usada por um marqu\u00eas da antiguidade.\n--------------------------\n^0000ffAGI +1.^000000\n--------------------------\nTipo: ^777777Capa^000000\nDEF: ^7777779^000000 DEFM: ^7777770^000000\nPeso: ^77777760^000000\nN\u00edvel necess\u00e1rio: ^77777740^000000\nClasses: ^777777Todas, exceto Aprendizes e evolu\u00e7\u00f5es^000000"""
"2508","Capa Velha","2","515","0","""Uma capa velha e rasgada. Seu antigo dono sofreu tantas priva\u00e7\u00f5es, que sua for\u00e7a vital ficou incorporada na capa. Protege o usu\u00e1rio contra magias ofensivas.\n--------------------------\nClasse: ^777777Capa^000000\nDEF: ^7777774^000000 DEFM: ^77777710^000000\nPeso: ^77777750^000000\nClasses: ^777777Todas, exceto Aprendiz^000000"""
"2509","Capa do Sobrevivente","2","515","0","""Capa fina e macia, feita de tecido verde extremamente resistente. Diz a lenda que elas foram feitas pelos elfos de Alfheim, que usavam apenas as capas como prote\u00e7\u00e3o.\n--------------------------\n^0000ffVIT +10.^000000\n--------------------------\n^FA4E09Conjunto^000000\n^FA4E09[Bast\u00e3o do Sobrevivente]^000000\n^0000ffHP m\u00e1x. +300.^000000\n^0000ffDano m\u00e1gico^000000 ^ff0000-5%.^000000\nA cada refino da arma at\u00e9 o +10:\n^0000ffDano m\u00e1gico +1%.^000000\nA cada refino da capa at\u00e9 o +10:\n^0000ffResist\u00eancia a propriedade Neutro +3%.^000000\n--------------------------\nTipo: ^777777Capa^000000\nDEF: ^77777730^000000 DEFM: ^7777775^000000\nPeso: ^77777755^000000\nN\u00edvel necess\u00e1rio: ^77777775^000000\nClasses: ^777777Magos, Espiritualistas e evolu\u00e7\u00f5es^000000"""
"2511","Capa dos Mortos","2","515","0","""Uma capa usada por soldados mortos durante a guerra entre o Rei Dem\u00f4nio Morroc e Thanatos.\n\u00c9 uma capa amaldi\u00e7oada que, dizem, transforma seu usu\u00e1rio em um Zumbi se usada por muito tempo.\nTalvez tenham dito isso pois a capa \u00e9 t\u00e3o velha que fede como morto-vivo...\n^0000ffFOR +2, DES +2, SOR +2.\nINT -3, VIT -3, AGI -4.^000000\nClasse: ^777777Capa^000000\nDefesa: ^77777713^000000\nPeso: ^77777770^000000\nN\u00edvel necess\u00e1rio: ^77777775^000000\nClasses: ^777777Todas, exceto Aprendiz^000000"""
