"id","name","itemTypeId","itemSubTypeId","slots","description"
"2401","Sandálias","2","516","0","""Bonitos sapatos femininos com um fecho em forma de tira sobre o peito do p\u00e9. Costuma ser parte do uniforme escolar de meninas.\nClasse: ^777777Cal\u00e7ado^000000\nDefesa: ^7777775^000000\nPeso: ^77777720^000000\nClasses: ^777777Todas^000000"""
"2402","Sandálias [1]","2","516","1","""Bonitos sapatos femininos com um fecho em forma de tira sobre o peito do p\u00e9. Costuma ser parte do uniforme escolar de meninas.\nClasse: ^777777Cal\u00e7ado^000000\nDefesa: ^7777775^000000\nPeso: ^77777720^000000\nClasses: ^777777Todas^000000"""
"2403","Sapatos","2","516","0","""Cal\u00e7ado feito de couro. Consiste em uma sola grossa e uma cobertura mais leve at\u00e9 logo abaixo do tornozelo.\n--------------------------\nTipo: ^777777Cal\u00e7ado^000000\nDEF: ^77777710^000000 DEFM: ^7777770^000000\nPeso: ^77777740^000000\nN\u00edvel necess\u00e1rio: ^7777771^000000\nClasses: ^777777Todas, exceto Aprendizes^000000"""
"2404","Sapatos [1]","2","516","1","""Cal\u00e7ado feito de couro. Consiste em uma sola grossa e uma cobertura mais leve at\u00e9 logo abaixo do tornozelo.\n--------------------------\nTipo: ^777777Cal\u00e7ado^000000\nDEF: ^77777710^000000 DEFM: ^7777770^000000\nPeso: ^77777740^000000\nN\u00edvel necess\u00e1rio: ^7777771^000000\nClasses: ^777777Todas, exceto Aprendizes^000000"""
"2405","Botas","2","516","0","""Cal\u00e7ado de couro grosso que cobre parte da perna. Tem a borda revestida com o p\u00ealo branco de um Lun\u00e1tico. \u00c9 bem pesada, de modo que apenas quem tem treinamento de combate consegue us\u00e1-las.\n--------------------------\nTipo: ^777777Cal\u00e7ado^000000\nDEF: ^77777716^000000 DEFM: ^7777770^000000\nPeso: ^77777760^000000\nN\u00edvel necess\u00e1rio: ^7777771^000000\nClasses: ^777777Espadachins, Arqueiros, Mercadores, Gatunos, Justiceiros, Mestres Taekwons e evolu\u00e7\u00f5es^000000"""
"2406","Botas [1]","2","516","1","""Cal\u00e7ado de couro grosso que cobre parte da perna. Tem a borda revestida com o p\u00ealo branco de um Lun\u00e1tico. \u00c9 bem pesada, de modo que apenas quem tem treinamento de combate consegue us\u00e1-las.\n--------------------------\nTipo: ^777777Cal\u00e7ado^000000\nDEF: ^77777716^000000 DEFM: ^7777770^000000\nPeso: ^77777760^000000\nN\u00edvel necess\u00e1rio: ^7777771^000000\nClasses: ^777777Espadachins, Arqueiros, Mercadores, Gatunos, Justiceiros, Mestres Taekwons e evolu\u00e7\u00f5es^000000"""
"2407","Sapatilha de Cristal","2","516","0","""Sapato feminino de salto alto, feito de cristal resistente. Costuma ser usado por noivas como parte da indument\u00e1ria de casamento. As noivas tamb\u00e9m podem us\u00e1-lo para bater em pessoas inconvenientes...\n^0000ffSOR +5.^000000\nClasse: ^777777Cal\u00e7ado^000000\nDEF: ^7777775^000000 DEFM: ^77777710^000000\nPeso: ^77777710^000000\nClasses: ^777777Todas as classes, exceto Aprendiz^000000"""
"2408","Grilhões","2","516","0","""Algemas de a\u00e7o com uma corrente presa a uma pesada bola para restringir os movimentos de escravos ou prisioneiros, de modo que eles n\u00e3o escapem. Geralmente usada ao redor dos tornozelos.\n--------------------------\n^fa4e09Conjunto^000000\n^fa4e09[Algemas de Presidi\u00e1rio]^000000\nA cada refino do Cal\u00e7ado at\u00e9 o +10:\n^0000ffATQ +1.^000000\n--------------------------\n^fa4e09Conjunto^000000\n^fa4e09[Uniforme de Presidi\u00e1rio]^000000\n^0000ffATQ +5.^000000\nA cada refino do Cal\u00e7ado at\u00e9 o +10:\n^0000ffATQ +1.^000000\n--------------------------\nTipo: ^777777Cal\u00e7ado^000000\nDEF: ^77777718^000000 DEFM: ^7777770^000000\nPeso: ^777777300^000000\nN\u00edvel necess\u00e1rio: ^7777771^000000\nClasses: ^777777Todas^000000"""
"2409","Salto Alto","2","516","0","""Sapatos listrados com bicos muito finos e saltos altos. Dizem que eram usados por uma bruxa, por isso carregam poder m\u00e1gico.\nClasse: ^777777Cal\u00e7ado^000000\nDEF: ^77777710^000000 DEFM: ^7777775^000000\nPeso: ^77777760^000000\nClasses: ^777777Todas as classes, exceto Aprendiz^000000"""
"2410","Sleipnir","2","516","0","""Botas lend\u00e1rias que levam o nome do cavalo de Odin.\n--------------------------\n^a400cdN\u00e3o pode ser refinado.^000000\n--------------------------\n^a400cdIndestrut\u00edvel em batalha.^000000\n--------------------------\n^0000ffINT +25.^000000\n^0000ffHP e SP m\u00e1x. +20%.^000000\n^0000ffRegen. natural de SP +15%.^000000\n^0000ffAumenta a velocidade de movimento.^000000\n--------------------------\n^008080Exibe efeito gr\u00e1fico pode ser desligado com \/effect.^000000\n--------------------------\nTipo: ^777777Cal\u00e7ado^000000\nDEF: ^77777740^000000 DEFM: ^77777710^000000\nPeso: ^777777350^000000\nN\u00edvel necess\u00e1rio: ^77777794^000000\nClasses: ^777777Todas^000000"""
"2411","Grevas","2","516","0","""Botas recobertas por placas de a\u00e7o, para maior prote\u00e7\u00e3o. S\u00e3o pesadas e nada confort\u00e1veis... Mas se voc\u00ea for devorado por um monstro, pelo menos seus p\u00e9s continuar\u00e3o intactos. \nClasse: ^777777Cal\u00e7ados^000000    \nDefesa: ^77777727^000000\nPeso: ^77777775^000000\nN\u00edvel neces\u00e1rio: ^77777765^000000\nClasses: ^777777Cavaleiro\/Templ\u00e1rio^000000"""
"2412","Grevas [1]","2","516","1","""Botas recobertas por placas de a\u00e7o, para maior prote\u00e7\u00e3o. S\u00e3o pesadas e nada confort\u00e1veis... Mas se voc\u00ea for devorado por um monstro, pelo menos seus p\u00e9s continuar\u00e3o intactos. \nClasse: ^777777Cal\u00e7ados^000000    \nDefesa: ^77777727^000000\nPeso: ^77777775^000000\nN\u00edvel neces\u00e1rio: ^77777765^000000\nClasses: ^777777Cavaleiro\/Templ\u00e1rio^000000"""
"2413","Coturnos","2","516","0","""Botas protegidas com placas de metal. Se voc\u00ea der aquela topada com uma pedra, n\u00e3o vai machucar o ded\u00e3o.\n^0000ffImposs\u00edvel de ser aprimorarado.^000000\nClasse: ^777777Cal\u00e7ados^000000    \nDefesa: ^77777722^000000\nPeso: ^77777735^000000\nN\u00edvel necess\u00e1rio: ^77777730^000000\nClasses: ^777777Espadachim e suas evolu\u00e7\u00f5es^000000"""
"2414","Sandálias do Aprendiz","2","516","0","""Apenas para Aprendizes. A Associa\u00e7\u00e3o Secreta de Chineleiros de Payon criou estas alpargatas feitas 100% de folhas de bambu. \u00c9 um arraso na praia. Na fita que prende o p\u00e9, pode-se ler \""Patroc\u00ednio: ASCP, n\u00f3s pegamos no seu p\u00e9\"". Parece mais uma estrat\u00e9gia de marketing para vender mais chinelos...\n^0000ffImposs\u00edvel de se aprimorar.^000000\nClasse: ^777777Cal\u00e7ado^000000\nDefesa: ^7777775^000000\nPeso: ^7777770.1^000000\nN\u00edvel necess\u00e1rio: ^7777771^000000\nClasses: ^777777Exclusivo para Aprendizes^000000"""
"2415","Pantufas de Coelho [1]","2","516","1","""Chinelinhos felpudos no formato de coelhos. Muito usados por mulheres nos dias frios.\nMas n\u00e3o se espante se vir alguns homens de pernas peludas andando pelas ruas de Prontera com eles...\n^0000ffSOR +3.^000000\nTipo: ^777777Cal\u00e7ado^000000\nDEF: ^7777779^000000 DEFM: ^7777773^000000\nPeso: ^77777730^000000\nN\u00edvel necess\u00e1rio: ^77777730^000000\nClasses: ^777777Todas, exceto Aprendiz^000000"""
"2416","Sapatos do Aprendiz [1]","2","516","1","""Um par de sapatos feito exclusivamente para novas aventuras.\n^0000ffM\u00e1x. HP +5%.^000000\nTipo: ^777777Cal\u00e7ado^000000\t\t\nDefesa: ^7777778^000000\nPeso: ^77777750^000000\t\t\nN\u00edvel necess\u00e1rio: ^77777740^000000\nClasses: ^777777Aprendiz^000000"""
"2417","Sapatos de Fricco","2","516","0","""Um par de sapatos aben\u00e7oados por Freyr, o deus da terra e filho de Njord. Essa b\u00ean\u00e7\u00e3o livra o usu\u00e1rio da dor.\n^0000ffAGI +2.^000000\n^0000ffRecupera\u00e7\u00e3o de HP das Po\u00e7\u00f5es Vermelha, Laranja, Amarela e Branca +20%.^000000\n^FA4E09Conjunto^000000\n^FA4E09[B\u00ean\u00e7\u00e3o de Odin]^000000\n^FA4E09[Sobrepeliz do Falc\u00e3o]^000000\n^0000ffAGI +3 adicional.^000000\n^0000ffHP e SP m\u00e1x. +5%.^000000\nTipo: ^777777Cal\u00e7ado^000000\nDefesa: ^77777712^000000\nPeso: ^77777750^000000\nN\u00edvel necess\u00e1rio: ^77777765^000000\nClasses: ^777777Todas, exceto Aprendizes^000000"""
"2418","Botas de Vidar","2","516","0","""As botas usadas por Vidar, filho de Odin, quando ele matou o Lobo Fenrir. Elas representam a grande for\u00e7a f\u00edsica e mental mostradas por Vidar naquela \u00e9pica batalha final.\n--------------------------\n^0000ffHP e SP m\u00e1x. +9%.^000000\n--------------------------\n^fa4e09Conjunto^000000\n^fa4e09[Manteau de Vali]^000000\n^fa4e09[B\u00ean\u00e7\u00e3o de Odin]^000000\n^0000ffVIT +5.^000000\n^0000ffRegenera\u00e7\u00e3o natural de HP e SP +10%.^000000\n--------------------------\nTipo: ^777777Cal\u00e7ado^000000\nDEF: ^77777713^000000 DEFM: ^7777770^000000\nPeso: ^77777765^000000\nN\u00edvel necess\u00e1rio: ^77777765^000000\nClasses: ^777777Todas, exceto Aprendizes^000000"""
"2419","Grevas de Goibne","2","516","0","""Um par de sapatos supostamente forjado por Goibne em resposta \u00e0 competi\u00e7\u00e3o de seu rival, Dulb.\n--------------------------\n^0000ffHP e SP m\u00e1x. +5%.^000000\n--------------------------\nTipo: ^777777Cal\u00e7ado^000000\nDEF: ^77777713^000000 DEFM: ^7777773^000000\nPeso: ^77777770^000000\nN\u00edvel necess\u00e1rio: ^77777754^000000\nClasses: ^777777Todas, exceto Aprendizes^000000"""
"2420","Reencarnação do Anjo [1]","2","516","1","""Sand\u00e1lias divinas usadas pelo Anjo Guardi\u00e3o dos Superaprendizes.\n--------------------------\n^0000ffHP m\u00e1x. +100.^000000\n--------------------------\nTipo: ^777777Cal\u00e7ado^000000\nDEF: ^7777778^000000 DEFM: ^7777770^000000\nPeso: ^77777770^000000\nN\u00edvel necess\u00e1rio: ^77777754^000000\nClasses: ^777777Aprendizes e evolu\u00e7\u00f5es^000000"""
"2421","Sapatos das Valquírias [1]","2","516","1","""Um par de sapatos usado pelas Valqu\u00edrias, as donzelas guerreiras de Odin. Esses sapatos tornam-se mais poderosos \u00e0 medida que o usu\u00e1rio desenvolve suas pr\u00f3prias habilidades.\n^a400cdIndestrut\u00edvel em batalha.^000000\n^FA4E09Magos, Novi\u00e7os, Arqueiros e evolu\u00e7\u00f5es:^000000\nA cada n\u00edvel de base:\n^0000ffHP m\u00e1x. +5.^000000\n^FA4E09Espadachins, Mercadores, Gatunos e evolu\u00e7\u00f5es:^000000\nA cada n\u00edvel de classe:\n^0000ffSP m\u00e1x. +2.^000000\nTipo: ^777777Cal\u00e7ado^000000\nDefesa: ^77777713^000000\nPeso: ^77777750^000000\nN\u00edvel necess\u00e1rio: ^7777771^000000\nClasses: ^777777Classes 3 e Transclasses, exceto Aprendizes^000000"""
"2422","Sandálias Elegantes [1]","2","516","1","""Um par de sand\u00e1lias\ndouradas e cravejadas de j\u00f3ias\nque s\u00e3o confort\u00e1veis,^FFFFFF  ^000000 informais, mas ainda assim, elegantes.\nTipo: ^777777Cal\u00e7ado^000000\nDEF: ^7777777^000000 DEFM: ^77777710^000000\nPeso: ^77777720^000000\nN\u00edvel necess\u00e1rio: ^77777740^000000\nClasses: ^777777Mago, Novi\u00e7o e Evolu\u00e7\u00f5es \/ Espiritualista^000000"""
