"id","name","itemTypeId","itemSubTypeId","slots","description"
"2101","Vembrassa","2","514","0","""Escudo quadrado, pequeno mas efetivo para bloquear ataques inimigos. Arraste para a janela de equipamento para utilizar.\nClasse: ^777777Escudo^000000\nDefesa: ^77777720^000000\nPeso: ^77777730^000000\nClasses: ^777777Todas^000000"""
"2102","Vembrassa [1]","2","514","1","""Escudo quadrado, pequeno mas efetivo para bloquear ataques inimigos. Arraste para a janela de equipamento para utilizar.\nClasse: ^777777Escudo^000000\nDefesa: ^77777720^000000\nPeso: ^77777730^000000\nClasses: ^777777Todas^000000"""
"2103","Broquel","2","514","0","""Escudo redondo com uma al\u00e7a para segurar.\nClasse: ^777777Escudo^000000\nDefesa: ^77777740^000000\nPeso: ^77777760^000000\nClasses: ^777777Espadachim\/Novi\u00e7o\/Mercador\/Gatuno e as respectivas evolu\u00e7\u00f5es\/Bardo\/Odalisca^000000"""
"2104","Broquel [1]","2","514","1","""Escudo redondo com uma al\u00e7a para segurar.\nClasse: ^777777Escudo^000000\nDefesa: ^77777740^000000\nPeso: ^77777760^000000\nClasses: ^777777Espadachim\/Novi\u00e7o\/Mercador\/Gatuno e as respectivas evolu\u00e7\u00f5es\/Bardo\/Odalisca^000000"""
"2105","Escudo","2","514","0","""Escudo de fabrica\u00e7\u00e3o precisa, quase impenetr\u00e1vel a ataques.\nClasse: ^777777Escudo^000000\nDefesa: ^77777760^000000\nPeso: ^777777130^000000\nClasses: ^777777Espadachim e suas evolu\u00e7\u00f5es^000000"""
"2106","Escudo [1]","2","514","1","""Escudo de fabrica\u00e7\u00e3o precisa, quase impenetr\u00e1vel a ataques.\nClasse: ^777777Escudo^000000\nDefesa: ^77777760^000000\nPeso: ^777777130^000000\nClasses: ^777777Espadachim e suas evolu\u00e7\u00f5es^000000"""
"2107","Escudo Espelhado","2","514","0","""Escudo de prata polido ao ponto de refletir como um espelho. Protege contra magias dos oponentes.\n--------------------------\nClasse: ^777777Escudo^000000\nDEF: ^77777745^000000 DEFM: ^7777775^000000\nPeso: ^777777100^000000\nClasses: ^777777Espadachins e evolu\u00e7\u00f5es^000000"""
"2108","Escudo Espelhado [1]","2","514","1","""Escudo de prata polido ao ponto de refletir como um espelho. Protege contra magias dos oponentes.\n--------------------------\nClasse: ^777777Escudo^000000\nDEF: ^77777745^000000 DEFM: ^7777775^000000\nPeso: ^777777100^000000\nClasses: ^777777Espadachins e evolu\u00e7\u00f5es^000000"""
"2109","Grimório","2","514","0","""Livro de magia t\u00e3o grosso que pode ser usado como escudo por Magos.\n^0000ffINT +1, DEFM +2^000000\nClasse:  ^777777Escudo^000000\nDefesa: ^77777725^000000\nPeso: ^777777100^000000\nClasses: ^777777Mago e suas evolu\u00e7\u00f5es, Espiritualista^000000"""
"2110","Arauto Divino","2","514","0","""Escudo ungido pela igreja, que simboliza todos os des\u00edgnios divinos protegidos sob o s\u00edmbolo da rosa de Maria Madalena.\n^0000ffImposs\u00edvel de ser aprimorarado, VIT +2 e DEFM +2.^000000\nClasse: ^777777Escudo^000000    \nDefesa: ^777777110^000000\nPeso: ^777777140^000000\nN\u00edvel necess\u00e1rio: ^77777768^000000\nClasses: ^777777Exclusivo para Templ\u00e1rios^000000"""
