"id","name","itemTypeId","itemSubTypeId","slots","description"
"2601","Anel","2","517","0","""Pequeno aro de metal usado no dedo. \n--------------------------\n^0000ffFOR +2.^000000\n--------------------------\nTipo: ^777777Acess\u00f3rio^000000\nDEF: ^7777770^000000 DEFM: ^7777770^000000\nPeso: ^77777720^000000\nN\u00edvel necess\u00e1rio: ^77777720^000000\nClasses: ^777777Todas, exceto Aprendizes e evolu\u00e7\u00f5es^000000"""
"2602","Brinco","2","517","0","""Ornamento usado na orelha. Aumenta a intelig\u00eancia do usu\u00e1rio.\n^0000ffINT +2^000000\nClasse: ^777777Acess\u00f3rio^000000\nDefesa: ^7777770^000000\nPeso: ^77777710^000000\nN\u00edvel necess\u00e1rio: ^77777720^000000\nClasses: ^777777Todas as classes, exceto Aprendiz^000000"""
"2603","Colar","2","517","0","""Ornamento usado ao redor do pesco\u00e7o. Aumenta a vitalidade do usu\u00e1rio.\n^0000ffVIT +2^000000\nClasse: ^777777Acess\u00f3rio^000000\nDefesa: ^7777770^000000\nPeso: ^77777710^000000\nN\u00edvel necess\u00e1rio: ^77777720^000000\nClasses: ^777777Todas as classes, exceto Aprendiz^000000"""
"2604","Luvas","2","517","0","""Pe\u00e7a do vestu\u00e1rio para cobrir as m\u00e3os e melhorar a empunhadura. Aumenta a destreza do usu\u00e1rio.\n^0000ffDES +2^000000\nClasse: ^777777Acess\u00f3rio^000000\nDefesa: ^7777770^000000\nPeso: ^77777710^000000\nN\u00edvel necess\u00e1rio: ^77777720^000000\nClasses: ^777777Todas as classes, exceto Aprendiz^000000"""
"2605","Broche","2","517","0","""Ornamento provido de um alfinete para prender na roupa. Aumenta a agilidade do usu\u00e1rio.\n^0000ffAGI +2^000000\nClasse: ^777777Acess\u00f3rio^000000\nDefesa: ^7777770^000000\nPeso: ^77777710^000000\nN\u00edvel necess\u00e1rio: ^77777720^000000\nClasses: ^777777Todas as classes, exceto Aprendiz^000000"""
"2607","Presilha [1]","2","517","1","""Acess\u00f3rio normalmente usado para prender uma pe\u00e7a do vestu\u00e1rio, como uma capa.\n^0000ffSP +10^000000\nClasse: ^777777Acess\u00f3rio^000000\nDefesa: ^7777770^000000\nPeso: ^77777710^000000\nClasses: ^777777Todas^000000"""
"2608","Rosário","2","517","0","""Cord\u00e3o de contas usado durante ora\u00e7\u00f5es.\n^0000ffSOR +2 , DEFM +5^000000\nClasse: ^777777Acess\u00f3rio^000000\nDefesa: ^7777770^000000 \nPeso: ^77777710^000000\nN\u00edvel necess\u00e1rio: ^77777720^000000\nClasses: ^777777Todas as classes, exceto Aprendiz^000000"""
"2609","Anel de Caveira","2","517","0","""Um anel \u00fanico, adornado com uma caveira. Est\u00e3o gravadas as palavras 'Para sempre, at\u00e9 a Morte...'.\n--------------------------\nTipo: ^777777Acess\u00f3rio^000000\nDEF: ^7777770^000000 DEFM: ^7777770^000000\nPeso: ^77777710^000000\nN\u00edvel necess\u00e1rio: ^7777771^000000\nClasses: ^777777Todas^000000"""
"2610","Anel de Ouro","2","517","0","""Anel comum feito de ouro. \u00c9 um \u00f3timo presente para a pessoa amada.\nClasse: ^777777Acess\u00f3rio^000000\nDefesa: ^7777770^000000\nPeso: ^77777710^000000\nClasses: ^777777Todas^000000"""
"2611","Anel de Prata","2","517","0","""Anel simples feito de prata. Pode ser encontrado bem barato em lojas.\nClasse: ^777777Acess\u00f3rio^000000\nDefesa: ^7777770^000000\nPeso: ^77777710^000000\nClasses: ^777777Todas^000000"""
"2612","Anel de Flor","2","517","0","""Anel muito bonito feito de flores sivestres. \u00d3timo presente para a pessoa amada.\nClasse: ^777777Acess\u00f3rio^000000\nDefesa: ^7777770^000000\nPeso: ^77777710^000000\nClasses: ^777777Todas^000000"""
"2613","Anel de Diamante","2","517","0","""Anel muito caro, com um diamante incrustado. \u00c9 o sonho de muitas mulheres. Simboliza o casamento entre duas pessoas.\nClasse: ^777777Acess\u00f3rio^000000\nDefesa: ^7777770^000000\nPeso: ^77777710^000000\nClasses: ^777777Todas^000000"""
"2614","Olho de Dullahan","2","517","0","""Esse tesouro \u00fanico pode neutralizar todos os tipos de veneno do mundo.\n^0000ffResist\u00eancia a ra\u00e7a Dem\u00f4nio +4%.^000000\n^0000ffResist\u00eancia a ra\u00e7a Morto-Vivo +4%.^000000\n^0000ffToler\u00e2ncia a Envenenamento +100%.^000000\nTipo: ^777777Acess\u00f3rio^000000\nDefesa: ^7777770^000000\nPeso: ^77777710^000000\nN\u00edvel necess\u00e1rio: ^77777750^000000\nClasses: ^777777Todas, exceto Aprendizes e Superaprendizes^000000"""
"2615","Anel de Defesa","2","517","0","""Anel misterioso que aumenta a defesa do usu\u00e1rio.\n^0000ffDEF +3, DEFM +3^000000\nClasse: ^777777Acess\u00f3rio^000000\nDefesa: ^7777770^000000\nPeso: ^77777710^000000\nN\u00edvel necess\u00e1rio: ^77777740^000000\nClasses: ^777777Todas as classes, exceto Aprendiz^000000"""
"2616","Anel Certeiro","2","517","0","""Anel m\u00edstico que desperta uma precis\u00e3o oculta em seu usu\u00e1rio.\n--------------------------\n^0000ffCRIT +5.^000000\n--------------------------\nTipo: ^777777Acess\u00f3rio^000000\nDEF: ^7777770^000000 DEFM: ^7777770^000000\nPeso: ^7777775^000000\nN\u00edvel necess\u00e1rio: ^77777740^000000\nClasses: ^777777Todas, exceto Aprendizes^000000"""
"2617","Luva Sacra","2","517","0","""Luvas sagradas que aumentam a Intelig\u00eancia do usu\u00e1rio.\n^0000ffINT +1^000000\nClasse: ^777777Acess\u00f3rio^000000\nDefesa: ^7777771^000000\nPeso: ^77777710^000000\nN\u00edvel necess\u00e1rio: ^77777735^000000\nClasses: ^777777Todas as classes, exceto Aprendiz^000000"""
"2618","Coleira de Matyr","2","517","0","""A coleira de um Matyr. Feita de couro com pontas de metal.\n^0000ffAGI +1^000000\nClasse: ^777777Acess\u00f3rio^000000\nDefesa: ^7777771^000000\nPeso: ^77777710^000000\nN\u00edvel Necess\u00e1rio: ^77777735^000000\nClasses: ^777777Todas as classes, exceto Aprendiz^000000"""
