"id","name","itemTypeId","itemSubTypeId","slots","description"
"24024","Malha Sombria de Esquiva","10","526","0","""Malha usada por baixo da armadura convencional.\n--------------------------\n^0000ffHP m\u00e1x. +10 por refino.^000000\n--------------------------\n^0000ffEsquiva +5.^000000\nRefino +7 ou mais:\n^0000ffEsquiva +10 adicional.^000000\n--------------------------\nTipo: ^777777Equip. Sombrio^000000\nPosi\u00e7\u00e3o: ^777777Malha^000000\nPeso: ^7777770^000000 Nv. m\u00edn.: ^7777771^000000\nClasses: ^777777Todas^000000"""
"24034","Luvas Sombrias SOR","10","280","0","""Luvas usadas como complemento para o manejo de armas convencionais.\n--------------------------\nA cada refino:\n^0000ffATQ e ATQM +1.^000000\n--------------------------\n^0000ffSOR +1.^000000\nRefino +7 ou mais:\n^0000ffSOR +1 adicional.^000000\nRefino +9 ou mais:\n^0000ffSOR +1 adicional.^000000\n--------------------------\nTipo: ^777777Equip. Sombrio^000000\nPosi\u00e7\u00e3o: ^777777Luvas^000000\nPeso: ^7777770^000000 Nv. m\u00edn.: ^7777771^000000\nClasses: ^777777Todas^000000"""
"24035","Brinco Sombrio FOR","10","529","0","""Brinco usado como complemento para os acess\u00f3rios convencionais.\n--------------------------\nA cada refino:\n^0000ffHP m\u00e1x. +10.^000000\n--------------------------\n^0000ffFOR +1.^000000\nRefino +7 ou mais:\n^0000ffFOR +1 adicional.^000000\nRefino +9 ou mais:\n^0000ffFOR +1 adicional.^000000\n--------------------------\nTipo: ^777777Equip. Sombrio^000000\nPosi\u00e7\u00e3o: ^777777Brinco^000000\nPeso: ^7777770^000000 Nv. m\u00edn.: ^7777771^000000\nClasses: ^777777Todas^000000"""
"24036","Colar Sombrio INT","10","530","0","""Colar usado como complemento para os acess\u00f3rios convencionais.\n--------------------------\nA cada refino:\n^0000ffHP m\u00e1x. +10.^000000\n--------------------------\n^0000ffINT +1.^000000\nRefino +7 ou mais:\n^0000ffINT +1 adicional.^000000\nRefino +9 ou mais:\n^0000ffINT +1 adicional.^000000\n--------------------------\nTipo: ^777777Equip. Sombrio^000000\nPosi\u00e7\u00e3o: ^777777Colar^000000\nPeso: ^7777770^000000 Nv. m\u00edn.: ^7777771^000000\nClasses: ^777777Todas^000000"""
"24037","Malha Sombria DES","10","526","0","""Malha usada por baixo da armadura convencional.\n--------------------------\nA cada refino:\n^0000ffHP m\u00e1x. +10.^000000\n--------------------------\n^0000ffDES +1.^000000\nRefino +7 ou mais:\n^0000ffDES +1 adicional.^000000\nRefino +9 ou mais:\n^0000ffDES +1 adicional.^000000\n--------------------------\n^FA4E09Conjunto^000000\n^FA4E09[Luvas Sombrias DES]^000000\n^0000ffDES +1 adicional.^000000\n--------------------------\nTipo: ^777777Equip. Sombrio^000000\nPosi\u00e7\u00e3o: ^777777Malha^000000\nPeso: ^7777770^000000 Nv. m\u00edn.: ^7777771^000000\nClasses: ^777777Todas^000000"""
"24038","Sapatos Sombrios VIT","10","528","0","""Grevas usadas como complemento para os cal\u00e7ados convencionais.\n--------------------------\nA cada refino:\n^0000ffHP m\u00e1x. +10.^000000\n--------------------------\n^0000ffVIT +1.^000000\nRefino +7 ou mais:\n^0000ffVIT +1 adicional.^000000\nRefino +9 ou mais:\n^0000ffVIT +1 adicional.^000000\n--------------------------\nTipo: ^777777Equip. Sombrio^000000\nPosi\u00e7\u00e3o: ^777777Grevas^000000\nPeso: ^7777770^000000 Nv. m\u00edn.: ^7777771^000000\nClasses: ^777777Todas^000000"""
"24039","Escudo Sombrio AGI","10","527","0","""Pe\u00e7a adicional de escudo usada para complementar um escudo convencional.\n--------------------------\nA cada refino:\n^0000ffHP m\u00e1x. +10.^000000\n--------------------------\n^0000ffAGI +1.^000000\nRefino +7 ou mais:\n^0000ffAGI +1 adicional.^000000\nRefino +9 ou mais:\n^0000ffAGI +1 adicional.^000000\n--------------------------\nTipo: ^777777Equip. Sombrio^000000\nPosi\u00e7\u00e3o: ^777777Escudo^000000\nPeso: ^7777770^000000 Nv. m\u00edn.: ^7777771^000000\nClasses: ^777777Todas^000000"""
"24040","Malha Sombria SOR","10","526","0","""Malha usada por baixo da armadura convencional.\n--------------------------\nA cada refino:\n^0000ffHP m\u00e1x. +10.^000000\n--------------------------\n^0000ffSOR +1.^000000\nA cada 2 refinos:\n^0000ffCRIT +1.^000000\n--------------------------\n^FA4E09Conjunto^000000\n^FA4E09[Luvas Sombrias SOR]^000000\n^0000ffSOR +1 adicional.^000000\n--------------------------\nTipo: ^777777Equip. Sombrio^000000\nPosi\u00e7\u00e3o: ^777777Malha^000000\nPeso: ^7777770^000000 Nv. m\u00edn.: ^7777771^000000\nClasses: ^777777Todas^000000"""
"24041","Colar Sombrio FOR","10","530","0","""Colar usado como complemento para os acess\u00f3rios convencionais.\n--------------------------\n^0000ffFOR +1.^000000\nA cada refino:\n^0000ffATQ +1.^000000\n^0000ffHP m\u00e1x. +10.^000000\n--------------------------\n^FA4E09Conjunto^000000\n^FA4E09[Brinco Sombrio FOR]^000000\n^0000ffFOR +1 adicional.^000000\n--------------------------\nTipo: ^777777Equip. Sombrio^000000\nPosi\u00e7\u00e3o: ^777777Colar^000000\nPeso: ^7777770^000000 Nv. m\u00edn.: ^7777771^000000\nClasses: ^777777Todas^000000"""
"24042","Brinco Sombrio INT","10","529","0","""Brinco usado como complemento para os acess\u00f3rios convencionais.\n--------------------------\n^0000ffINT +1.^000000\nA cada refino:\n^0000ffATQM +1.^000000\n^0000ffHP m\u00e1x. +10.^000000\n--------------------------\n^FA4E09Conjunto^000000\n^FA4E09[Colar Sombrio INT]^000000\n^0000ffINT +1 adicional.^000000\n--------------------------\nTipo: ^777777Equip. Sombrio^000000\nPosi\u00e7\u00e3o: ^777777Brinco^000000\nPeso: ^7777770^000000 Nv. m\u00edn.: ^7777771^000000\nClasses: ^777777Todas^000000"""
